minimum_rate,guests_max,min_stay,extra,property_type,property_bedrooms,area_name,booking_guest_number,hari,harga,minggu,bulan
1050000.0,6.0,2.0,0.0,2.0,3.0,26,4,92,1304347.826,45,10
340000.0,2.0,1.0,0.0,4.0,10.0,2,1,60,310745.5345,46,10
340000.0,2.0,1.0,0.0,4.0,6.0,24,2,56,526785.7143,47,10
362500.0,2.0,1.0,0.0,4.0,5.0,24,1,37,297690.157,48,10
350000.0,2.0,2.0,0.0,4.0,7.0,2,2,47,475415.4619,48,10
600000.0,2.0,1.0,0.0,2.0,1.0,16,2,47,482720.2291,48,3
360000.0,2.0,1.0,0.0,4.0,5.0,24,1,58,361587.5041,48,3
1950000.0,8.0,2.0,0.0,2.0,4.0,24,2,28,1300594.833,49,3
350000.0,2.0,2.0,0.0,4.0,7.0,2,1,29,511481.3579,49,3
600000.0,2.0,1.0,0.0,2.0,1.0,16,2,25,746946.4104,50,3
780000.0,5.0,2.0,0.0,4.0,6.0,24,2,28,216510.2893,50,3
310000.0,2.0,1.0,0.0,4.0,4.0,24,1,36,388634.2694,50,3
300000.0,2.0,2.0,0.0,4.0,6.0,2,8,26,1117412.886,50,3
1050000.0,4.0,1.0,0.0,2.0,2.0,26,4,31,949349.9806,50,3
360000.0,2.0,1.0,0.0,4.0,5.0,24,1,31,370913.331,50,3
362500.0,2.0,1.0,0.0,4.0,5.0,24,2,31,382141.1613,50,3
600000.0,2.0,1.0,0.0,2.0,1.0,16,1,20,653031.32,50,3
362500.0,2.0,1.0,0.0,4.0,5.0,24,2,23,432168.0474,51,3
305000.0,2.0,1.0,0.0,4.0,8.0,2,1,15,504101.0227,51,3
1500000.0,10.0,2.0,0.0,2.0,5.0,26,5,14,2105896.429,51,3
340000.0,2.0,1.0,0.0,4.0,6.0,24,2,16,533221.8506,51,3
4500000.0,8.0,1.0,1.0,2.0,3.0,12,4,14,4879778.174,51,3
340000.0,2.0,1.0,0.0,4.0,6.0,24,2,11,514828.4018,51,3
780000.0,5.0,2.0,0.0,4.0,6.0,24,2,10,427585.842,51,3
340000.0,2.0,1.0,0.0,4.0,10.0,2,1,13,360339.5077,51,3
600000.0,2.0,1.0,0.0,2.0,1.0,16,1,15,697470.7653,52,3
340000.0,2.0,1.0,0.0,4.0,10.0,2,1,11,391073.2364,52,3
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,2,9,625118.9978,52,3
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,2,9,750152.7289,52,3
475000.0,2.0,1.0,0.0,4.0,6.0,1,2,8,769652.22,52,3
350000.0,2.0,2.0,0.0,4.0,7.0,2,2,8,530100.1938,52,3
305000.0,2.0,1.0,0.0,4.0,8.0,2,2,14,554501.6293,52,3
360000.0,2.0,1.0,0.0,4.0,5.0,24,2,8,477114.58,52,3
2250000.0,6.0,1.0,0.0,2.0,4.0,25,3,7,3655102.923,52,3
475000.0,2.0,1.0,0.0,4.0,6.0,1,2,6,693647.125,52,3
350000.0,2.0,2.0,0.0,4.0,7.0,2,2,6,530098.5,52,3
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,2,6,1100908.993,52,3
2250000.0,6.0,1.0,0.0,2.0,4.0,25,1,12,2850571.811,52,3
1562500.0,6.0,1.0,0.0,4.0,7.0,1,1,9,639432.3233,52,3
350000.0,2.0,2.0,0.0,4.0,7.0,2,1,10,468989.821,52,3
1300000.0,6.0,2.0,0.0,2.0,3.0,26,3,30,1650727.768,52,3
360000.0,2.0,1.0,0.0,4.0,5.0,24,2,8,466975.0438,52,3
340000.0,2.0,1.0,0.0,4.0,10.0,2,2,6,476339.4933,52,3
340000.0,2.0,1.0,0.0,4.0,10.0,2,1,9,445092.7778,52,3
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,1,6,770155.91,52,3
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,1,6,680123.5283,52,3
675000.0,2.0,1.0,0.0,4.0,4.0,24,2,5,475101.672,52,3
950000.0,4.0,1.0,0.0,2.0,2.0,12,2,5,1926974.974,52,3
320000.0,2.0,2.0,0.0,4.0,2.0,24,1,7,483340.89,52,3
780000.0,5.0,2.0,0.0,4.0,6.0,24,2,7,503930.8414,52,3
320000.0,2.0,2.0,0.0,4.0,2.0,24,1,7,483340.89,52,3
1562500.0,6.0,1.0,0.0,4.0,7.0,1,1,7,716701.7143,52,3
1562500.0,6.0,1.0,0.0,4.0,7.0,1,1,7,716701.7143,52,3
1562500.0,6.0,1.0,0.0,4.0,7.0,1,1,7,716701.7143,52,3
475000.0,2.0,1.0,0.0,4.0,6.0,1,4,5,1724563.62,52,3
1000000.0,6.0,2.0,0.0,2.0,3.0,8,6,4,1627835.078,52,3
450000.0,2.0,1.0,0.0,2.0,1.0,23,2,5,648020.732,52,3
350000.0,2.0,2.0,0.0,4.0,7.0,2,1,12,515103.2725,52,3
320000.0,2.0,2.0,0.0,4.0,2.0,24,2,7,457453.01,52,3
700000.0,2.0,1.0,0.0,2.0,1.0,1,1,18,671238.1039,52,3
340000.0,2.0,1.0,0.0,4.0,10.0,2,2,5,461791.926,52,3
1500000.0,4.0,1.0,0.0,2.0,2.0,26,2,6,1837040.495,52,3
1562500.0,6.0,1.0,0.0,4.0,7.0,1,2,4,710143.5425,52,3
550000.0,2.0,1.0,0.0,4.0,17.0,24,2,5,729133.202,52,3
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,4,1216249.868,52,3
675000.0,2.0,1.0,0.0,4.0,4.0,24,2,5,1190238.558,52,3
1900000.0,15.0,1.0,0.0,2.0,10.0,4,9,4,3200000.0,52,3
340000.0,2.0,1.0,0.0,4.0,6.0,24,2,7,534166.7014,52,3
340000.0,2.0,1.0,0.0,4.0,6.0,24,2,8,586519.5375,52,3
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,5,903575.088,52,3
475000.0,2.0,1.0,0.0,4.0,6.0,1,2,12,836151.9825,52,3
778333.3333333334,5.0,1.0,0.0,4.0,9.0,2,6,5,1783915.74,52,3
1416666.6666666667,8.0,1.0,0.0,2.0,3.0,26,6,5,2295450.414,52,3
625000.0,2.0,1.0,0.0,4.0,5.0,1,2,3,730158.43,52,3
700000.0,2.0,1.0,0.0,2.0,1.0,1,2,3,861495.78,52,3
362500.0,2.0,1.0,0.0,4.0,5.0,24,1,3,550110.34,52,3
1200000.0,4.0,1.0,0.0,2.0,3.0,2,6,3,2042896.12,52,3
882500.0,3.0,1.0,0.0,2.0,6.0,2,2,7,1425285.119,52,3
882500.0,3.0,1.0,0.0,2.0,6.0,2,2,4,1800356.715,52,3
550000.0,2.0,1.0,0.0,4.0,17.0,24,8,4,2217115.428,52,3
850000.0,4.0,1.0,0.0,2.0,2.0,4,4,3,1300747.477,52,3
1312500.0,4.0,1.0,0.0,4.0,13.0,1,4,3,1833682.387,52,3
1150000.0,5.0,1.0,0.0,2.0,-1.0,5,4,2,3420684.31,52,3
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,1,7,694415.9214,52,3
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,1,7,664406.9371,52,3
882500.0,3.0,1.0,0.0,2.0,6.0,2,3,3,2052392.033,52,3
475000.0,2.0,1.0,0.0,4.0,6.0,1,2,7,723500.1386,52,3
950000.0,4.0,2.0,0.0,2.0,4.0,26,3,8,1000658.76,52,3
340000.0,2.0,1.0,0.0,4.0,6.0,24,2,3,554323.73,52,3
1562500.0,6.0,1.0,0.0,4.0,7.0,1,1,3,556025.69,52,3
400000.0,2.0,1.0,0.0,4.0,4.0,24,2,3,593518.61,52,3
400000.0,2.0,1.0,0.0,4.0,4.0,24,2,3,1127685.507,52,3
1300000.0,6.0,1.0,0.0,2.0,4.0,10,10,3,2660525.307,52,3
400000.0,2.0,1.0,0.0,2.0,2.0,2,2,3,673058.5933,52,3
310000.0,2.0,1.0,0.0,4.0,4.0,24,1,3,432085.1433,52,3
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,2,400079.775,52,3
305000.0,2.0,1.0,0.0,4.0,8.0,2,2,3,627143.7867,52,3
900000.0,6.0,1.0,0.0,2.0,3.0,23,5,4,2500500.175,52,3
340000.0,2.0,1.0,0.0,4.0,10.0,2,1,28,297204.7307,52,3
530000.0,3.0,1.0,0.0,4.0,4.0,13,2,3,340053.24,52,3
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,2,2,680123.53,52,3
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,1,3,730163.1433,52,3
1562500.0,6.0,1.0,0.0,4.0,7.0,1,2,4,760172.3725,52,3
882500.0,3.0,1.0,0.0,2.0,6.0,2,2,5,1045216.864,52,3
550000.0,2.0,1.0,0.0,4.0,17.0,24,4,4,1662826.855,52,3
550000.0,2.0,1.0,0.0,4.0,17.0,24,3,3,1507632.163,52,3
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,3,864157.8067,52,3
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,4,832667.405,52,3
675000.0,2.0,1.0,0.0,4.0,4.0,24,2,3,1260255.55,52,3
675000.0,2.0,1.0,0.0,4.0,4.0,24,2,2,841834.6,52,3
850000.0,7.0,1.0,1.0,1.0,3.0,22,2,5,1710509.212,52,3
1180000.0,4.0,1.0,0.0,2.0,4.0,1,1,2,1170238.96,53,3
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,1,4,740137.4675,53,3
600000.0,2.0,1.0,0.0,2.0,1.0,16,2,2,825165.395,53,3
2250000.0,6.0,1.0,0.0,2.0,4.0,25,3,5,3220635.408,53,3
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,2,4,787678.24,53,3
616666.6666666666,2.0,2.0,0.0,4.0,7.0,1,2,1,1410201.29,53,3
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,2,620083.235,53,3
